local-authority-code_A,local-authority-code_B,distance
SWK,NWM,0.07375289020927263
BEN,HER,0.07393347316159059
HER,BEN,0.07393347316159059
KEC,HRY,0.07407576821614935
HRY,KEC,0.07407576821614935
ISL,WND,0.07421079806989099
WND,ISL,0.07421079806989099
THE,HIL,0.07450654724609493
HIL,THE,0.07450654724609493
HMF,BNE,0.07488383013271976
BNE,HMF,0.07488383013271976
SWK,HRY,0.07494714265195807
HRY,SWK,0.07494714265195807
MRT,CRY,0.07505608607479253
CRY,MRT,0.07505608607479253
HER,WEW,0.07508931581412955
WEW,HER,0.07508931581412955
MAL,ROC,0.07509779216869276
ROC,MAL,0.07509779216869276
THR,BAI,0.07513648669731234
BAI,THR,0.07513648669731234
TWH,WSM,0.07547882284025102
WSM,TWH,0.07547882284025102
BEN,RIC,0.07582971620176528
RIC,BEN,0.07582971620176528
BLA,OAD,0.07586206389086388
OAD,BLA,0.07586206389086388
BEX,NWM,0.07587804183804081
NWM,BEX,0.07587804183804081
RIC,WND,0.07594277509180669
WND,RIC,0.07594277509180669
BOS,CHS,0.07601159662819186
CHS,BOS,0.07601159662819186
WAW,COV,0.0760650971341033
COV,WAW,0.0760650971341033
ENF,BNE,0.0761155171711008
BNE,ENF,0.0761155171711008
SLG,RUN,0.07619931525518192
RUN,SLG,0.07619931525518192
ENF,CMD,0.07624649238607265
CMD,ENF,0.07624649238607265
HMF,KTT,0.07642942877802333
KTT,HMF,0.07642942877802333
BEX,BRY,0.07643889168049867
BRY,BEX,0.07643889168049867
TWH,CMD,0.07647711129583958
CMD,TWH,0.07647711129583958
BOS,ASH,0.07699696689921369
ASH,BOS,0.07699696689921369
STT,HPL,0.07704781913516552
HPL,STT,0.07704781913516552
HAV,BEX,0.07760945486936273
BEX,HAV,0.07760945486936273
HMF,LND,0.07769667002800898
LND,HMF,0.07769667002800898
SWK,GRE,0.07785354863560452
GRE,SWK,0.07785354863560452
SLF,BOL,0.07792360386228167
BOL,SLF,0.07792360386228167
WGN,BOL,0.07807296666248291
BOL,WGN,0.07807296666248291
NWM,LND,0.07820006978177581
LND,NWM,0.07820006978177581
TWH,RDB,0.07820085784206096
RDB,TWH,0.07820085784206096
ROS,RCH,0.0785702804637245
RCH,ROS,0.0785702804637245
NET,NTY,0.078585589269282
NTY,NET,0.078585589269282
WGN,WRT,0.07870234626007713
WRT,WGN,0.07870234626007713
HAT,RUH,0.07884067015804812
RUH,HAT,0.07884067015804812
HRW,BNE,0.07919766318388254
BNE,HRW,0.07919766318388254
CRW,REI,0.07924243683657374
REI,CRW,0.07924243683657374
MAV,WOC,0.07934356568288152
WOC,MAV,0.07934356568288152
EPS,ELM,0.07975718836156445
ELM,EPS,0.07975718836156445
WLV,SAW,0.0799055348487717
SAW,WLV,0.0799055348487717
KEC,RIC,0.08001353188053752
RIC,KEC,0.08001353188053752
EAT,FAR,0.08004961348935676
FAR,EAT,0.08004961348935676
HNS,BEN,0.08024132047647217
BEN,HNS,0.08024132047647217
CAS,SOS,0.0803662846111467
SOS,CAS,0.0803662846111467
ROS,HYN,0.08040710474823745
HYN,ROS,0.08040710474823745
MDB,HPL,0.0805062389225134
HPL,MDB,0.0805062389225134
BIR,SAW,0.08051968532003169
SAW,BIR,0.08051968532003169
HNS,HRW,0.08088282977390722
HRW,HNS,0.08088282977390722
WLA,SFT,0.08097521349623256
SFT,WLA,0.08097521349623256
WAT,HIL,0.08171681003631029
HIL,WAT,0.08171681003631029
BNS,SHF,0.08175198230105538
SHF,BNS,0.08175198230105538
SWK,WFT,0.08184976724198674
WFT,SWK,0.08184976724198674
THE,HRW,0.08210553979419215
HRW,THE,0.08210553979419215
WND,EPS,0.08224450342522799
EPS,WND,0.08224450342522799
MAN,SLF,0.0823751854909061
SLF,MAN,0.0823751854909061
STO,GLO,0.08240837705850847
GLO,STO,0.08240837705850847
HAL,KWL,0.08278290065741242
KWL,HAL,0.08278290065741242
KEC,HCK,0.08284172886780795
HCK,KEC,0.08284172886780795
WND,BEN,0.08293136135588444
BEN,WND,0.08293136135588444
LEW,ISL,0.08313035609281517
ISL,LEW,0.08313035609281517
SWK,MRT,0.08321174626248673
MRT,SWK,0.08321174626248673
RUN,SUR,0.0834090308874627
SUR,RUN,0.0834090308874627
FYL,WYR,0.08343611183682026
WYR,FYL,0.08343611183682026
GRA,TON,0.08364390041989586
TON,GRA,0.08364390041989586
TAW,LIF,0.08365996815450198
LIF,TAW,0.08365996815450198
BAI,CHL,0.08379721457866543
CHL,BAI,0.08379721457866543
REI,MOL,0.08383279770707393
MOL,REI,0.08383279770707393
CRY,BRY,0.08390631163255373
BRY,CRY,0.08390631163255373
STR,WAW,0.08397532376629016
WAW,STR,0.08397532376629016
BRX,WFT,0.08410001431483502
WFT,BRX,0.08410001431483502
TAN,CRY,0.08412196389300002
CRY,TAN,0.08412196389300002
BFS,LBC,0.08419450735435398
LBC,BFS,0.08419450735435398
HAV,DAR,0.08421335593376221
DAR,HAV,0.08421335593376221
ENF,LND,0.08434656873383001
LND,ENF,0.08434656873383001
HRY,LBH,0.08443363713616046
LBH,HRY,0.08443363713616046
THR,DAR,0.08444056541289571
DAR,THR,0.08444056541289571
RUH,BRC,0.08455412306414267
BRC,RUH,0.08455412306414267
EAL,KEC,0.08463727598964872
KEC,EAL,0.08463727598964872
CAS,BAI,0.08474769050771981
BAI,CAS,0.08474769050771981
NWL,HIN,0.08482267720618271
HIN,NWL,0.08482267720618271
STV,WEW,0.0848660604747202
WEW,STV,0.0848660604747202
WND,CRY,0.08531484437444066
CRY,WND,0.08531484437444066
WFT,GRE,0.08534306991203808
GRE,WFT,0.08534306991203808
RDB,HCK,0.0854474186387115
HCK,RDB,0.0854474186387115
WDU,RFW,0.08631111217760737
RFW,WDU,0.08631111217760737
HIL,SLG,0.0864243431362504
