local-authority-code,overlap
VAL,SWD|COT|CHR|WIL|SOX|WBK|OXO|WOX|GLS|OXF
SOX,VAL|BUC|CHR|RDG|WOK|WBK|OXO|OXF
WOX,VAL|STR|CHR|COT|GLS|OXF|WAR
OXO,SOX|CHR|VAL|OXF
MEN,BAS|WIL|SSO|NSM|SEG|SOM
CAN,SST|LIF|STS|WLL|STA
MSU,BRE|BAB|NFK|ESK|SFK|WSK|IPS|SNO
IPS,SFK|ESK|BAB|MSU
WAE,HRT|HOR|MOL|SRY|CHI|RUH|EHA|HAM|GRT|WSX|HAT|WAR
WOI,RUN|SRY|GRT|ELM|SUR
SUR,RUN|WNM|BRC|WOI|HRT|SRY|RUH|HAM|GRT|HAT
RUN,WNM|WOI|SRY|SPE|ELM|SUR
GRT,HRT|WOI|MOL|SRY|RUH|WAE|WAR|ELM|SUR
REI,CRY|STN|MOL|EPS|WAR|WSX|TAN|CRW
MOL,REI|HOR|EPS|KTT|SRY|WAE|GRT|WAR|WSX|ELM|CRW
ELM,RUN|WOI|MOL|RIC|KTT|SRY|SPE|GRT|WAR
EPS,STN|REI|MOL|KTT|WAR
RUG,STR|WNT|HIN|WAW|BLA|HAO|LEC|NUN|COV|WAR
NUN,HIN|LEC|NWA|COV|RUG|WAR
MSS,LEE|HOR|WEA|ESX|BNH|WAR|WSX|TAN|CRW
CRW,REI|HOR|MOL|MSS|WSX|TAN|WAR
MAV,WYE|SHR|TEW|HEF|WOC|WOR|FOE|WYC|GLS
WYE,SST|SHR|STS|BRM|WOR|MAV|WYC
WYC,STR|WYE|TEW|COT|BRM|RED|WOC|WOR|MAV|GLS|WAR
BRM,STR|WYE|DUD|SST|STS|BIR|RED|WOR|SOL|WYC|WAR
WOC,WYC|WOR|MAV
RED,STR|BRM|WOR|WYC|WAR
BRO,BRE|NFK|NOW|NNO|GRY|SNO
COP,ALL|BAR|CMA|SLA
CAR,DGY|CMA|SCB|NBL|ALL|EDN
SLA,CMA|COP|LAC|CRA|NYK|LEC|BAR|RIH|ALL|EDN
ALL,DGY|CMA|COP|CAR|SLA|EDN
EDN,DUR|CMA|NYK|NBL|CAR|SLA|RIH|ALL
BAR,COP|CMA|SLA
SDE,LIF|STS|EST|DEB|ERE|AMB|SFK|DBY|DER|LIN|NWL
BOS,NED|ASH|CHS|DBY|AMB|MAS|BAE|DEV|ROT|NTT|OXF
DEB,NED|SHF|EST|AMB|SFK|SDE|HIG|DBY|STF
NDE,TOR|SWT|MDE|DEV
EDE,EXE|MDE|TEI|SSO|DEV|SWT|DST|SOM
TEI,EXE|MDE|WDE|EDE|SHA|TOB|DEV
WDE,CON|MDE|TEI|TOR|SHA|DEV
MDE,WDE|TEI|EDE|NDE|TOR|DEV|SWT
EXE,DEV|TEI|EDE
LEE,WEA|MSS|ESX|BNH|WSX
ROH,KEN|WEA|LAN|TUN|ASF|ESX|SHE|HAS
WEA,LEE|KEN|ROH|SEV|MSS|TUN|ESX|WSX|TAN|EAS|WAR
EAS,ESX|WEA
HAS,ESX|ROH
ROC,MAL|CHL|ESS|SOS|BAI|CAS|GLS
TEN,SFK|COL|BAB|GLS
COL,MAL|BAB|TEN|SFK|BRA|GLS
